kbopID,playerID,yearID,stint,lgID,teamID,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
4641,79293,2020,1,KBO,Lotte,48,0,0,3,1,0,7,0.75,152,108,37,5,8,2,17,15,15,3.75
4642,79293,2021,1,KBO,Lotte,20,0,0,0,1,0,1,0,87,51,28,2,8,1,8,13,12,6.61
4643,79334,2011,1,KBO,Nexen,2,0,0,0,0,0,0,-,12,6,2,0,4,0,0,4,3,13.5
4644,79339,2016,1,KBO,LG,5,0,0,0,0,0,0,-,26,21,4,0,3,1,5,0,0,0
4645,79339,2018,1,KBO,LG,5,0,0,0,0,0,0,-,25,22,7,0,3,0,4,3,3,4.76
4646,79349,2010,1,KBO,Nexen,30,0,0,5,7,0,0,0.417,570,393,123,15,61,12,87,64,60,4.12
4647,79349,2011,1,KBO,Lotte,36,3,2,9,7,2,0,0.563,670,463,163,15,59,6,85,77,71,4.19
4648,79349,2012,1,KBO,Lotte,19,0,0,3,7,0,0,0.3,440,288,109,7,43,11,45,52,45,4.25
4649,79349,2013,1,KBO,Lotte,13,0,0,1,4,0,0,0.2,233,156,64,4,22,3,26,37,32,5.61
4650,79349,2016,1,KBO,Doosan,14,0,0,1,1,0,1,0.5,114,79,31,2,11,5,21,15,15,5.47
4651,79349,2017,1,KBO,Doosan,5,0,0,0,1,0,0,0,52,30,17,0,8,0,6,11,11,10.61
4652,79358,2009,1,KBO,Woori,45,0,0,3,2,1,2,0.6,363,240,64,12,70,0,79,52,49,5.51
4653,79358,2010,1,KBO,Nexen,5,0,0,1,1,0,0,0.5,71,45,15,2,13,1,11,13,12,7.2
4654,79358,2011,1,KBO,Nexen,6,0,0,3,1,0,0,0.75,84,63,15,0,11,0,11,5,5,2.14
4655,79358,2012,1,KBO,Nexen,27,1,0,4,7,0,0,0.364,530,382,89,14,74,7,127,58,57,4.08
4656,79358,2013,1,KBO,Nexen,41,0,0,6,6,0,7,0.5,568,390,112,6,75,8,131,69,63,4.36
4657,79358,2014,1,KBO,Nexen,24,0,0,1,1,0,1,0.5,215,126,60,17,32,1,36,43,36,7.71
4658,79358,2016,1,KBO,Nexen,1,0,0,0,0,0,0,-,5,3,1,1,1,0,0,2,2,18
4659,79358,2017,1,KBO,NC,36,0,0,2,1,0,0,0.667,245,169,57,14,24,2,51,30,27,4.45
4660,79358,2018,1,KBO,NC,69,0,0,7,5,1,17,0.583,243,169,54,10,26,1,65,41,37,6.09
4661,79358,2019,1,KBO,NC,67,0,0,3,3,0,15,0.5,242,171,55,4,24,4,49,29,28,4.47
4662,79358,2020,1,KBO,NC,30,0,0,1,1,0,3,0.5,103,63,31,3,11,0,15,16,16,6.86
4663,79358,2021,1,KBO,Lotte,22,0,0,0,1,0,3,0,79,48,21,3,14,1,15,15,15,8.44
4664,79358,2022,1,KBO,Lotte,29,0,0,0,0,0,0,-,97,66,25,0,6,1,27,17,13,5.48
4665,79430,2009,1,KBO,Samsung,11,0,0,6,2,0,0,0.75,260,187,52,5,28,2,51,26,24,3.56
4666,79430,2010,1,KBO,Samsung,21,0,0,6,5,0,0,0.545,375,252,87,5,42,2,66,47,42,4.54
4667,79430,2011,1,KBO,Nexen,30,0,0,7,15,0,0,0.318,768,519,169,12,98,12,115,98,90,4.7
4668,79430,2012,1,KBO,Nexen,30,2,1,16,4,0,0,0.8,832,631,180,6,53,7,102,60,51,2.2
4669,79430,2013,1,KBO,Nexen,30,0,0,12,10,0,0,0.545,769,523,192,10,79,14,129,96,85,4.43
4670,79430,2014,1,KBO,Nexen,6,0,0,1,2,0,0,0.333,142,90,36,5,22,1,19,22,18,5.52
4671,79435,2009,1,KBO,Samsung,30,1,1,9,10,0,0,0.474,700,471,134,11,109,6,127,90,76,4.36
