playerID,birthYear,birthMonth,birthDay,nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,position
52704,2001,9,14,Korea,Lee,Sang-Hyeok,Lee Sang-Hyeok,143,69,L,R,Outfielder
52705,2000,5,9,Korea,Yoo,Sang-Bin,Yoo Sang-Bin,179,71,L,L,Outfielder
52707,1993,11,28,Dominica Republic,Ramirez,Felix,Ramirez Felix,214,74,R,R,Pitcher
52710,1998,12,11,Korea,Han,Gyeong-Bin,Han Gyeong-Bin,152,70,L,R,Infielder
52712,1990,12,3,USA,Tauchman,Mike,Tauchman Mike,209,74,L,L,Outfielder
52715,1999,12,27,Korea,Lee,Jae-Min,Lee Jae-Min,163,74,R,R,Pitcher
52720,1990,1,25,Dominica Republic,Pena,Felix,Pena Felix,218,74,R,R,Pitcher
52731,2003,3,2,Korea,Park,Jun-Yeong,Park Jun-Yeong,227,75,R,R,Pitcher
52764,2003,7,11,Korea,Heo,In-Seo,Heo In-Seo,205,72,R,R,Catcher
52769,1997,12,12,Korea,Kwon,Gwang-Min,Kwon Gwang-Min,225,74,L,L,Infielder
52804,1999,1,20,Korea,Seok,Jeong-U,Seok Jeong-U,181,71,R,R,Infielder
52806,1989,3,17,Dominica Republic,Lagares,Juan,Lagares Juan,218,74,R,R,Outfielder
52808,1992,11,20,USA,Morimando,Shawn ,Morimando Shawn ,205,72,L,L,Pitcher
52809,2002,4,16,Korea,Jeon,Yeong-Jun,Jeon Yeong-Jun,220,75,R,R,Pitcher
52827,1993,2,17,USA,Cron,Kevin,Cron Kevin,254,77,R,R,Infielder
52833,1987,1,12,Dominica Republic,Nova,Ivan,Nova Ivan,225,76,R,R,Pitcher
52867,2003,10,10,Korea,Yoon,Tae-Hyeon,Yoon Tae-Hyeon,205,74,R,R,Pitcher
52868,2003,5,14,Korea,Lee,Gi-Sun,Lee Gi-Sun,172,69,L,L,Pitcher
52873,2002,7,19,Korea,Shin,Heon-Min,Shin Heon-Min,194,74,R,R,Pitcher
52902,2003,10,11,Korea,Lim,Ji-Min,Lim Ji-Min,181,73,R,R,Pitcher
52903,1998,12,21,Korea,Cho,Min-Seok,Cho Min-Seok,183,71,L,R,Pitcher
52904,1990,6,27,USA,Martini,Nick,Martini Nick,205,72,L,L,Outfielder
52950,1990,7,4,USA,Dermody,Matt,Dermody Matt,190,77,R,L,Pitcher
52992,2003,6,30,Korea,Lee,Jun-Hyeok,Lee Jun-Hyeok,192,72,R,R,Pitcher
52994,1999,5,24,Korea,Park,Dong-Su,Park Dong-Su,187,70,R,R,Pitcher
52995,2003,5,17,Korea,Kim,Nok-Won,Kim Nok-Won,194,72,R,R,Pitcher
53006,2004,7,12,Korea,Kang,Geon,Kang Geon,187,72,R,R,Pitcher
53029,2004,4,21,Korea,Kim,Jeong-Un,Kim Jeong-Un,194,73,R,R,Pitcher
53036,2000,11,8,Korea,Ryu,Hyeon-In,Ryu Hyeon-In,176,69,L,R,Infielder
53040,1994,5,5,USA,Sulser,Beau,Sulser Beau,194,74,R,R,Pitcher
53057,2004,6,21,Korea,Son,Min-Seok,Son Min-Seok,154,70,L,R,Infielder
