npbpID,playerID,yearID,stint,lgID,teamID,POS,G,W,L,SV,HLD,HP,CG,SHO,WL_pct,BFP,IPouts,H,HR,BB,HBP,SO,WP,BK,R,ER,ERA,GS,K_pct,BB_pct,HR_pct,BABIP,LOB%,IBB,RA-,FIP-,RA9_WAR,WAR
207,100090,1936.1S,1,JBL,KYOJIN,UC,4,1,1,,,,1,0,0.5,73,51,16,1,5,0,11,0,0,12,4,2.12,2,0.151,0.068,0.014,0.268,0.459,,120,83,0,0.4
208,100090,1936.2F,1,JBL,KYOJIN,UC,15,13,2,,,,10,3,0.867,483,361,63,0,58,2,112,0,1,24,14,1.05,10,0.232,0.12,0,0.209,0.805,,42,71,5.3,3.2
209,100090,1937.1S,1,JBL,KYOJIN,UC,30,24,4,,,,24,7,0.857,938,732,138,2,68,2,196,0,0,47,22,0.81,24,0.209,0.072,0.002,0.207,0.785,,41,62,10.9,7.7
210,100090,1937.2F,1,JBL,KYOJIN,UC,20,9,6,,,,12,3,0.6,575,420,99,1,53,1,129,3,0,50,37,2.38,17,0.224,0.092,0.002,0.26,0.679,,71,60,3.7,4.9
211,100090,1940,1,JBL,KYOJIN,UC,12,7,1,,,,7,1,0.875,325,238,44,1,47,1,31,0,0,26,23,2.61,12,0.095,0.145,0.003,0.181,0.728,,96,116,0.9,0.3
212,100090,1941,1,JBL,KYOJIN,UC,20,9,5,,,,11,6,0.643,606,461,108,3,58,2,73,2,0,37,35,2.05,18,0.12,0.096,0.005,0.23,0.8,,85,78,2.5,3.1
213,100090,1943,1,JBL,KYOJIN,UC,4,0,3,,,,0,0,0,63,33,17,0,12,0,2,0,0,17,13,10.64,3,0.032,0.19,0,0.37,0.414,,535,158,-1.2,-0.2
214,100099,1936.1S,1,JBL,SENATORS,UC,13,8,4,,,,7,0,0.667,398,289,84,4,35,1,46,0,0,30,24,2.24,10,0.116,0.088,0.01,0.261,0.787,,53,90,3.7,1.6
215,100099,1936.2F,1,JBL,SENATORS,UC,19,7,9,,,,6,1,0.438,452,312,101,2,47,0,43,0,0,54,35,3.03,13,0.095,0.104,0.004,0.281,0.647,,109,98,0.4,1.3
216,100099,1937.1S,1,JBL,SENATORS,UC,37,19,7,,,,23,6,0.731,1048,771,196,3,85,1,142,2,0,70,45,1.58,30,0.135,0.081,0.003,0.24,0.763,,58,79,8.6,5.8
