playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
100017,1936,1,JBL,Kyojin,OF,23.0,28.0,3.0,0.0,1.0,,1.0,1.348
100017,1937,1,JBL,Kyojin,1B,3.0,4.0,0.0,0.0,0.0,,1.0,1.333
100017,1937,1,JBL,Kyojin,OF,96.0,187.0,12.0,5.0,3.0,,0.975,2.073
100017,1938,1,JBL,Kyojin,OF,73.0,148.0,8.0,4.0,4.0,,0.975,2.137
100017,1939,1,JBL,Kyojin,OF,96.0,203.0,7.0,4.0,4.0,,0.981,2.188
100017,1940,1,JBL,Kyojin,OF,103.0,206.0,7.0,3.0,2.0,,0.986,2.068
100017,1941,1,JBL,Kyojin,OF,83.0,158.0,11.0,3.0,2.0,,0.983,2.036
100017,1942,1,JBL,Kyojin,OF,105.0,220.0,9.0,3.0,2.0,,0.987,2.181
100017,1943,1,JBL,Kyojin,OF,72.0,154.0,10.0,3.0,1.0,,0.982,2.278
100017,1946,1,JBL,Kyojin,1B,4.0,31.0,0.0,1.0,2.0,,0.969,7.75
100017,1946,1,JBL,Kyojin,OF,54.0,125.0,11.0,5.0,9.0,,0.965,2.519
100017,1947,1,JBL,Yomiuri,OF,34.0,67.0,3.0,1.0,1.0,,0.986,2.059
100017,1948,1,JBL,Yomiuri,OF,48.0,83.0,4.0,2.0,0.0,,0.978,1.812
100017,1949,1,JBL,Yomiuri,OF,15.0,24.0,2.0,2.0,0.0,,0.929,1.733
100017,1950,1,CL,Taiyo,OF,11.0,20.0,3.0,1.0,1.0,,0.958,2.091
100017,1951,1,CL,Taiyo,OF,28.0,41.0,4.0,1.0,1.0,,0.978,1.607
100018,1936,1,JBL,Nagoya,P,12.0,,,,,,,
100019,1936,1,JBL,Senators,2B,46.0,113.0,106.0,11.0,34.0,,0.952,4.761
100019,1937,1,JBL,Senators,2B,101.0,378.0,340.0,39.0,106.0,,0.948,7.109
100019,1937,1,JBL,Senators,3B,5.0,7.0,9.0,1.0,2.0,,0.941,3.2
100019,1937,1,JBL,Senators,SS,3.0,6.0,2.0,0.0,1.0,,1.0,2.667
100019,1938,1,JBL,Senators,2B,75.0,309.0,188.0,17.0,58.0,,0.967,6.627
100019,1938,1,JBL,Senators,P,1.0,0.0,0.0,0.0,0.0,,,0.0
100019,1939,1,JBL,Senators,2B,95.0,363.0,299.0,35.0,86.0,,0.95,6.968
100019,1939,1,JBL,Senators,P,6.0,0.0,7.0,0.0,0.0,,1.0,1.167
100019,1940,1,JBL,Tsubasa,2B,100.0,312.0,257.0,17.0,75.0,,0.971,5.69
100019,1940,1,JBL,Tsubasa,3B,1.0,1.0,1.0,0.0,0.0,,1.0,2.0
100019,1940,1,JBL,Tsubasa,OF,2.0,1.0,0.0,0.0,0.0,,1.0,0.5
100019,1940,1,JBL,Tsubasa,P,2.0,0.0,1.0,0.0,0.0,,1.0,0.5
100019,1940,1,JBL,Tsubasa,SS,4.0,11.0,12.0,2.0,2.0,,0.92,5.75
100019,1941,1,JBL,Taiyo,2B,74.0,239.0,191.0,15.0,61.0,,0.966,5.811
100019,1941,1,JBL,Taiyo,OF,3.0,5.0,0.0,0.0,0.0,,1.0,1.667
100019,1942,1,JBL,Taiyo,2B,27.0,99.0,62.0,10.0,27.0,,0.942,5.963
100019,1942,2,JBL,Yamato,2B,18.0,56.0,54.0,5.0,21.0,,0.957,6.111
100019,1943,1,JBL,Yamato,2B,47.0,148.0,134.0,8.0,42.0,,0.972,6.0
100019,1943,1,JBL,Yamato,3B,2.0,1.0,0.0,1.0,0.0,,0.5,0.5
100019,1947,1,JBL,Tokyu,2B,79.0,246.0,252.0,17.0,80.0,,0.967,6.304
100019,1947,1,JBL,Tokyu,3B,5.0,2.0,4.0,2.0,1.0,,0.75,1.2
100019,1947,1,JBL,Tokyu,SS,7.0,20.0,17.0,1.0,7.0,,0.974,5.286
100019,1948,1,JBL,Kyuei,2B,23.0,53.0,43.0,3.0,9.0,,0.97,4.174
100019,1948,1,JBL,Kyuei,SS,1.0,0.0,0.0,0.0,0.0,,,0.0
100019,1950,1,PL,Mainichi,2B,2.0,8.0,4.0,2.0,3.0,,0.857,6.0
100019,1950,1,PL,Mainichi,3B,2.0,0.0,1.0,0.0,0.0,,1.0,0.5
100019,1950,1,PL,Mainichi,SS,16.0,16.0,28.0,4.0,11.0,,0.917,2.75
100019,1950,2,PL,Kintetsu,2B,34.0,94.0,106.0,7.0,41.0,,0.966,5.882
100019,1950,2,PL,Kintetsu,SS,1.0,0.0,0.0,1.0,0.0,,0.0,0.0
100019,1951,1,PL,Kintetsu,2B,39.0,75.0,89.0,9.0,19.0,,0.948,4.205
100019,1951,1,PL,Kintetsu,3B,5.0,3.0,11.0,2.0,3.0,,0.875,2.8
100019,1951,1,PL,Kintetsu,SS,1.0,0.0,0.0,0.0,0.0,,,0.0
100020,1936,1,JBL,Kinko,1B,3.0,11.0,1.0,0.0,0.0,,1.0,4.0
100020,1936,1,JBL,Kinko,C,21.0,93.0,13.0,4.0,0.0,5.0,0.964,5.048
100020,1937,1,JBL,Kinko,C,102.0,407.0,110.0,24.0,13.0,18.0,0.956,5.069
100020,1939,1,JBL,Kinko,1B,1.0,2.0,0.0,0.0,1.0,,1.0,2.0
100020,1939,1,JBL,Kinko,C,20.0,56.0,13.0,1.0,0.0,0.0,0.986,3.45
100021,1936,1,JBL,Nagoya,P,23.0,7.0,35.0,0.0,3.0,,1.0,1.826
100022,1936,1,JBL,Dai Tokyo,OF,37.0,31.0,2.0,0.0,0.0,,1.0,0.892
100023,1936,1,JBL,Senators,OF,29.0,15.0,1.0,3.0,0.0,,0.842,0.552
100023,1937,1,JBL,Senators,OF,44.0,51.0,1.0,2.0,1.0,,0.963,1.182
100023,1938,1,JBL,Senators,OF,61.0,137.0,1.0,3.0,0.0,,0.979,2.262
100023,1939,1,JBL,Senators,OF,12.0,31.0,1.0,0.0,0.0,,1.0,2.667
100024,1936,1,JBL,Dai Tokyo,OF,41.0,42.0,5.0,1.0,0.0,,0.979,1.146
100024,1937,1,JBL,Dai Tokyo,OF,56.0,108.0,4.0,7.0,1.0,,0.941,2.0
100024,1937,2,JBL,Lion,OF,48.0,87.0,4.0,3.0,0.0,,0.968,1.896
100024,1938,1,JBL,Lion,OF,72.0,150.0,10.0,3.0,1.0,,0.982,2.222
100024,1939,1,JBL,Lion,OF,96.0,206.0,13.0,10.0,5.0,,0.956,2.281
100024,1940,1,JBL,Lion,OF,10.0,13.0,2.0,0.0,0.0,,1.0,1.5
100024,1950,1,CL,Shochiku,OF,1.0,0.0,0.0,0.0,0.0,,,0.0
100025,1936,1,JBL,Nagoya,OF,36.0,44.0,2.0,1.0,1.0,,0.979,1.278
100025,1937,1,JBL,Korakuen,OF,72.0,126.0,5.0,3.0,1.0,,0.978,1.819
100025,1938,1,JBL,Eagles,OF,71.0,134.0,7.0,2.0,2.0,,0.986,1.986
100026,1936,1,JBL,Kyojin,C,3.0,8.0,1.0,0.0,0.0,1.0,1.0,3.0
100026,1937,1,JBL,Kyojin,C,10.0,42.0,4.0,2.0,0.0,3.0,0.958,4.6
100026,1939,1,JBL,Kyojin,C,3.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0
100027,1936,1,JBL,Osaka,C,42.0,152.0,20.0,4.0,1.0,1.0,0.977,4.095
100028,1936,1,JBL,Hankyu,2B,1.0,0.0,0.0,0.0,0.0,,,0.0
100028,1936,1,JBL,Hankyu,3B,22.0,12.0,57.0,5.0,3.0,,0.932,3.136
100028,1936,1,JBL,Hankyu,SS,25.0,11.0,24.0,5.0,3.0,,0.875,1.4
100028,1937,1,JBL,Hankyu,2B,20.0,27.0,31.0,1.0,3.0,,0.983,2.9
100028,1937,1,JBL,Hankyu,3B,8.0,5.0,19.0,5.0,1.0,,0.828,3.0
100029,1936,1,JBL,Kinko,1B,26.0,92.0,3.0,1.0,3.0,,0.99,3.654
100029,1936,1,JBL,Kinko,2B,2.0,2.0,4.0,0.0,0.0,,1.0,3.0
100029,1936,1,JBL,Kinko,P,25.0,0.0,24.0,0.0,0.0,,1.0,0.96
100029,1937,1,JBL,Kinko,1B,7.0,29.0,1.0,1.0,1.0,,0.968,4.286
100029,1937,1,JBL,Kinko,P,56.0,14.0,92.0,3.0,5.0,,0.972,1.893
100029,1938,1,JBL,Kinko,1B,34.0,231.0,3.0,9.0,22.0,,0.963,6.882
100029,1938,1,JBL,Kinko,2B,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
100029,1938,1,JBL,Kinko,OF,2.0,0.0,0.0,0.0,0.0,,,0.0
100029,1938,1,JBL,Kinko,P,30.0,5.0,53.0,4.0,5.0,,0.935,1.933
100029,1939,1,JBL,Kinko,1B,42.0,287.0,6.0,5.0,37.0,,0.983,6.976
100029,1939,1,JBL,Kinko,2B,1.0,0.0,0.0,0.0,0.0,,,0.0
100029,1939,1,JBL,Kinko,P,45.0,8.0,86.0,3.0,6.0,,0.969,2.089
100029,1940,1,JBL,Kinko,1B,36.0,207.0,4.0,4.0,14.0,,0.981,5.861
100029,1940,1,JBL,Kinko,P,43.0,17.0,80.0,3.0,5.0,,0.97,2.256
100029,1941,1,JBL,Taiyo,1B,4.0,5.0,0.0,0.0,1.0,,1.0,1.25
100029,1941,1,JBL,Taiyo,OF,2.0,0.0,0.0,1.0,0.0,,0.0,0.0
