playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,height,weight,bats,throws,Position
102183,1945,7,27,Japan,Toda,Yoshinori,Yoshinori Toda,68,176,R,R,Pitcher
102184,1945,7,27,Japan,Wada,Toru,Toru Wada,70,194,R,R,Catcher
102185,1945,8,4,Japan,Yano,Akira,Akira Yano,70,165,R,R,Pitcher
102186,1945,9,3,Japan,Sei,Toshihiko,Toshihiko Sei,70,176,R,R,Pitcher
102187,1946,3,5,Japan,Yamada,Yutaka,Yutaka Yamada,68,168,R,R,Pitcher
102188,1948,3,31,Japan,Furusawa,Kenji,Kenji Furusawa,71,161,R,R,Pitcher
102189,1930,11,16,United States,Foytack,Paul,Paul Foytack,71,174,R,R,Pitcher
102190,1930,12,27,United States,Larker,Norm,Norm Larker,72,185,L,L,First baseman
102191,1932,3,2,Cuba,Fernandez,Chico,Chico Fernandez,72,165,R,R,Third baseman
102192,1933,1,6,United States,Walls,Lee,Lee Walls,75,205,R,R,Third baseman
102193,1940,6,20,Japan,Matsumoto,Yusaku,Yusaku Matsumoto,69,165,L,R,Pinch Hitter
102194,1940,7,29,Japan,Sato,Mamoru,Mamoru Sato,70,150,R,R,Third baseman
102195,1941,6,25,Japan,Yamazaki,Takeaki,Takeaki Yamazaki,70,172,L,L,Pitcher
102196,1941,7,31,Japan,Niihari,Shinji,Shinji Niihari,71,176,R,R,Pitcher
102197,1941,10,16,Japan,Agata,Masumi,Masumi Agata,69,161,R,R,Right fielder
102198,1941,11,25,Japan,Sakai,Kazuya,Kazuya Sakai,70,165,R,R,Pinch Hitter
102199,1941,12,5,Japan,Noda,Masanori,Masanori Noda,69,157,R,R,Second baseman
102200,1942,3,2,Japan,Suetsugu,Tamio,Tamio Suetsugu,69,170,R,R,Right fielder
102201,1942,4,3,Japan,Miyamoto,Yojiro,Yojiro Miyamoto,68,154,R,R,Pitcher
102202,1942,4,13,Japan,Morimoto,Kiyoshi,Kiyoshi Morimoto,66,161,R,R,Third baseman
102203,1942,6,28,Japan,Doi,Shozo,Shozo Doi,68,137,R,R,Second baseman
102204,1942,7,12,Japan,Kihara,Yoshitaka,Yoshitaka Kihara,72,161,R,R,Pitcher
102205,1942,7,13,Japan,Watanabe,Taisuke,Taisuke Watanabe,70,168,R,R,Pitcher
102206,1942,9,5,Japan,Iishi,Reiji,Reiji Iishi,72,176,L,L,Right fielder
102207,1942,9,13,Japan,Teraoka,Takashi,Takashi Teraoka,69,165,R,R,Left fielder
102208,1942,10,7,Japan,Narita,Mitsuhiro,Mitsuhiro Narita,69,176,R,R,Pinch Hitter
102209,1942,11,5,Japan,Okada,Yukiyoshi,Yukiyoshi Okada,69,185,R,R,Catcher
102210,1943,1,10,Japan,Ejiri,Akira,Akira Ejiri,70,179,L,L,Right fielder
102211,1943,4,23,Japan,Fukutomi,Kunio,Kunio Fukutomi,70,181,L,L,Center fielder
102212,1943,5,16,Japan,Tsuji,Yoshiyuki,Yoshiyuki Tsuji,69,170,R,R,Pitcher
102213,1943,8,17,Japan,Yasuda,Nagateru,Nagateru Yasuda,69,157,R,R,Pinch Hitter
102214,1943,9,10,Japan,Daigo,Toshimitsu,Toshimitsu Daigo,71,159,R,R,Pitcher
102215,1943,10,2,Japan,Nakayama,Minoru,Minoru Nakayama,68,154,R,R,Pitcher
102216,1943,11,15,Japan,Taniguchi,Katsunori,Katsunori Taniguchi,71,165,R,R,Pitcher
102217,1943,12,10,Japan,Ikenaga,Hiroyuki,Hiroyuki Ikenaga,69,157,R,R,Pinch Hitter
102218,1944,1,8,Japan,Akai,Kiyoji,Kiyoji Akai,70,157,L,R,Right fielder
102219,1944,1,22,Japan,Nakajima,Setsuo,Setsuo Nakajima,70,187,R,R,First baseman
102220,1944,5,7,Japan,Matsutani,Eiji,Eiji Matsutani,70,172,L,L,Pitcher
102221,1944,6,8,Japan,Oikawa,Nobuji,Nobuji Oikawa,70,168,R,R,Pitcher
102222,1944,6,21,Japan,Haba,Yuji,Yuji Haba,70,190,R,R,Pitcher
102223,1944,7,12,Japan,Tojo,Fumihiro,Fumihiro Tojo,68,150,R,R,Shortstop
102224,1944,8,3,Japan,Norose,Yoshiaki,Yoshiaki Norose,68,172,R,R,Pitcher
102225,1944,10,9,Japan,Hamazaki,Masato,Masato Hamazaki,68,172,L,L,Pitcher
102226,1945,3,5,Japan,Osugi,Katsuo,Katsuo Osugi,71,194,R,R,First baseman
102227,1945,3,10,Japan,Oishi,Katsuhiko,Katsuhiko Oishi,67,165,R,R,Pinch Hitter
102228,1945,4,18,Japan,Otsuka,Toru,Toru Otsuka,68,165,R,R,Left fielder
102229,1945,4,29,Japan,Imai,Tsutomu,Tsutomu Imai,68,161,L,L,Pinch Hitter
102230,1945,5,29,Japan,Sotokoba,Yoshiro,Yoshiro Sotokoba,69,172,R,R,Pitcher
102231,1945,6,15,Japan,Teramoto,Isamu,Isamu Teramoto,69,157,R,R,Pitcher
102232,1945,6,25,Japan,Kobayashi,Makoto,Makoto Kobayashi,69,161,R,R,Pinch Hitter
102233,1945,6,30,Japan,Wakisaka,Takashi,Takashi Wakisaka,72,176,R,R,Pinch Hitter
102234,1945,8,14,Japan,Hiraoka,Ichiro,Ichiro Hiraoka,68,157,L,L,Pitcher
102235,1945,8,27,Japan,Tanaka,Tatsuhiko,Tatsuhiko Tanaka,70,181,R,R,Third baseman
102236,1945,9,12,Japan,Sasaki,Koji,Koji Sasaki,68,154,R,R,Pinch Hitter
102237,1945,9,16,Japan,Eda,Shoji,Shoji Eda,70,168,R,R,Second baseman
102238,1945,9,24,Japan,Miyoshi,Yukio,Yukio Miyoshi,69,165,R,R,Pitcher
102239,1945,11,27,Japan,Kawauchi,Yasuo,Yasuo Kawauchi,69,165,R,R,Pitcher
102240,1946,1,31,Japan,Yamada,Haruyuki,Haruyuki Yamada,69,172,R,R,Pinch Hitter
102241,1946,3,10,Japan,Takahashi,Hiroshi,Hiroshi Takahashi,67,168,R,R,Catcher
102242,1946,3,18,Japan,Iwaki,Yasuro,Yasuro Iwaki,67,168,R,R,Catcher
102243,1946,5,15,Japan,Ikeda,Junichi,Junichi Ikeda,69,183,L,R,Center fielder
102244,1946,6,3,Japan,Kurata,Makoto,Makoto Kurata,73,183,R,R,Pitcher
102245,1946,6,9,Japan,Takahashi,Kazumi,Kazumi Takahashi,70,172,L,L,Pitcher
102246,1946,6,14,Japan,Watanabe,Sumio,Sumio Watanabe,70,165,R,R,Pitcher
102247,1946,6,18,Japan,Nakazawa,Shinji,Shinji Nakazawa,69,181,R,R,Catcher
102248,1946,6,21,Japan,Hashimoto,Takashi,Takashi Hashimoto,72,179,R,R,Pitcher
102249,1946,6,23,Japan,Yoshida,Takashi,Takashi Yoshida,70,172,R,R,Catcher
102250,1946,7,3,Japan,Kadotani,Akira,Akira Kadotani,68,154,L,L,Pitcher
102251,1946,7,20,Japan,Inoue,Osamu,Osamu Inoue,68,176,R,R,Third baseman
102252,1946,7,31,Japan,Furuta,Tadashi,Tadashi Furuta,68,143,R,R,Pinch Hitter
102253,1946,8,18,Japan,Ikenaga,Masaaki,Masaaki Ikenaga,69,170,R,R,Pitcher
102254,1946,8,20,Japan,Koketsu,Hirotoshi,Hirotoshi Koketsu,72,170,L,L,Pitcher
102255,1946,9,1,Japan,Mizutani,Michio,Michio Mizutani,72,157,R,R,Pitcher
102256,1946,10,2,Japan,Narita,Fumio,Fumio Narita,70,168,R,R,Pitcher
