playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
101033,1959,1,CL,HIROSHIMA,55,17,20,18,6,,875,259,16,67,5,153,86,71,2.190857143,1162,0.459
101033,1960,1,CL,HIROSHIMA,33,7,8,2,1,,381,106,7,40,1,45,30,22,1.559055118,509,0.467
101033,1961,1,CL,HIROSHIMA,40,5,8,0,0,,356,101,5,39,3,42,42,35,2.654494382,480,0.385
101033,1962,1,CL,HIROSHIMA,23,1,3,1,0,,156,69,1,5,2,24,35,30,5.192307692,229,0.25
101036,1952,1,CL,NAGOYA,2,1,0,1,1,,37,8,0,10,0,0,4,3,2.189189189,54,1
101036,1953,1,CL,NAGOYA,3,0,0,0,0,,13,5,0,1,0,2,3,3,6.230769231,19,
101037,1952,1,PL,KINTETSU,18,0,5,1,0,,167,59,6,20,0,26,39,24,3.880239521,235,0
101037,1953,1,PL,KINTETSU,3,0,0,0,0,,17,6,0,3,0,1,2,1,1.588235294,25,
101037,1954,1,PL,KINTETSU,4,0,0,0,0,,27,11,0,2,0,3,9,5,5,41,
101037,1956,1,PL,TAKAHASHI,1,0,0,0,0,,4,0,0,1,0,1,0,0,0,5,
101038,1952,1,CL,TAIYO,11,2,0,1,0,,110,31,4,17,1,10,17,17,4.172727273,154,1
101038,1953,1,CL,YOSHO,24,1,2,0,0,,190,72,8,18,1,30,38,37,5.257894737,267,0.333
101038,1954,1,CL,YOSHO,12,0,4,1,0,,124,47,7,11,2,13,30,27,5.879032258,180,0
101038,1955,1,CL,TAIYO,18,2,4,2,2,,191,55,6,12,1,30,20,20,2.827225131,253,0.333
101038,1956,1,CL,TAIYO,9,1,2,0,0,,56,25,2,6,0,7,18,13,6.267857143,93,0.333
101038,1957,1,CL,TAIYO,10,0,0,0,0,,81,30,3,2,0,9,10,9,3,110,
101039,1952,1,PL,NISHITETSU,1,0,0,0,0,,7,1,1,2,0,0,3,2,7.714285714,11,
101040,1952,1,CL,KOKUTETSU,2,1,1,1,1,,36,3,0,4,1,6,2,1,0.75,43,0.5
101040,1953,1,CL,KOKUTETSU,3,0,0,0,0,,24,6,0,6,0,5,3,3,3.375,36,
101042,1952,1,PL,MAINICHI,22,4,3,1,1,,239,60,1,27,0,46,23,18,2.033472803,313,0.571
101042,1953,1,PL,MAINICHI,15,1,5,0,0,,154,53,3,18,0,25,30,22,3.857142857,224,0.167
101042,1954,1,PL,MAINICHI,29,6,4,1,0,,329,75,7,51,2,71,43,36,2.954407295,441,0.6
101042,1955,1,PL,MAINICHI,7,0,0,0,0,,25,11,0,8,0,2,6,6,6.48,43,
101042,1956,1,PL,MAINICHI,5,0,0,0,0,,21,3,0,6,0,5,5,3,3.857142857,29,
101046,1952,1,PL,NANKAI,15,1,0,1,0,,105,20,2,18,2,7,14,11,2.828571429,143,1
101046,1953,1,PL,NANKAI,16,3,3,1,0,,114,36,2,12,0,14,22,18,4.263157895,159,0.5
101046,1954,1,PL,NANKAI,14,4,2,0,0,,126,55,4,16,2,16,27,21,4.5,197,0.667
101046,1955,1,PL,NANKAI,48,13,4,2,1,,572,184,7,55,0,69,72,57,2.690559441,787,0.765
101046,1956,1,PL,NANKAI,33,12,1,1,0,,400,118,7,37,7,45,46,34,2.295,544,0.923
101046,1957,1,PL,NANKAI,9,2,2,0,0,,83,37,5,11,2,8,24,23,7.481927711,127,0.5
101046,1958,1,PL,NANKAI,5,0,2,0,0,,70,19,1,9,1,12,9,6,2.314285714,99,0
101047,1952,1,CL,HIROSHIMA,11,0,2,0,0,,48,29,4,11,1,3,17,13,7.3125,86,0
101047,1953,1,CL,HIROSHIMA,31,7,11,6,0,,473,161,7,76,2,41,79,68,3.881606765,689,0.389
101047,1954,1,CL,HIROSHIMA,23,4,7,6,1,,304,130,14,44,2,37,84,72,6.394736842,472,0.364
101047,1955,1,CL,HIROSHIMA,4,0,0,0,0,,39,11,2,7,1,2,9,8,5.538461538,56,
101047,1956,1,CL,HIROSHIMA,18,1,4,2,1,,157,53,3,15,0,13,23,18,3.095541401,216,0.2
101047,1957,1,CL,HIROSHIMA,40,4,9,2,0,,467,125,10,60,1,61,61,53,3.064239829,631,0.308
101047,1958,1,CL,HIROSHIMA,33,3,3,0,0,,239,76,4,39,1,28,39,34,3.841004184,342,0.5
101048,1953,1,PL,HANKYU,36,14,9,14,4,,662,184,9,94,0,142,76,62,2.528700906,904,0.609
101051,1953,1,PL,KINTETSU,26,6,10,5,0,,432,140,6,57,4,51,65,46,2.875,611,0.375
101051,1954,1,PL,KINTETSU,25,0,5,0,0,,290,80,1,26,1,51,25,22,2.048275862,373,0
101053,1953,1,CL,HIROSHIMA,1,0,0,0,0,,5,3,0,4,0,0,1,1,5.4,12,
101056,1953,1,CL,HIROSHIMA,4,0,2,0,0,,14,6,0,7,2,1,5,4,7.714285714,26,0
101056,1954,1,CL,HIROSHIMA,2,0,1,0,0,,13,6,0,2,0,0,5,2,4.153846154,23,0
101059,1953,1,CL,HIROSHIMA,4,0,0,0,0,,18,7,2,1,0,1,5,5,7.5,26,
101061,1953,1,CL,YOMIURI,16,1,0,0,0,,114,36,2,20,0,11,14,8,1.894736842,167,1
